1, 1234.5
2, 12345
3, 1234.5
4, 1234.5
5, 1234.5
6, 1234.5
7, 2147483648
8, 12345
9, 12345
10, -1234.5
11, -5
12, 64222
13, 64222
14, -64222
15, -64222
16, 1.1E200
17, 1.1E20
18, -1.1E200
19, 1.1E-200
20, null
21, 12345678901234567890
22, 1.E-7
23, 102147483647
24, 102147483647
25, 109223372036854775807
26, 2.0
27, 1.7976931348623157E308
28, -1.1E-700
29, -160952.54
30, 6264583.33
31, 193343.82
32, 1234.5678
33, 1.5
34, -1234.5678
35, 0.0
36, 1234.56
37, 1234.56
38, -1234.56
39, 0.1
40, 1.1E20
41, 1.1E20
42, -1.1E20
43, 1.1E200
44, 1.E2
45, -1.1E200
46, 15
47, 4294967295
48, 18446744073709551615
49, 0.0
50, 0.0
51, -0.0
52, 3.4028235E38
53, 3.4028236E38
54, 1.7976931348623157E308
55, 1.79
56, 7.006492321624085E-46
57, 7.006492321624085E-46
58, 4.9E-325
59, 4.9E-325
60, 1E-325
61, 1E-325
62, 1E-326
63, 1E-326
64, 305419896
65, 4886718345
66, 92
67, 147573952589676412912
68, 9223372036854775807
69, 147573952589676412912
70, 2147483647
71, 4294967295
72, 9223372036854775807
73, 18446744073709551615
74, 1844
75, 1845
76, 1846
77, 1847
78, class java.lang.NumberFormatException
79, class java.lang.NumberFormatException
80, class java.lang.NumberFormatException
81, class java.lang.NumberFormatException
82, 32768
83, 524288
84, 8388608
85, 134217728
86, 2147483647
87, 2147483648
88, 42
89, 134217728
90, 2147483647
91, 2147483648
92, 4294967295
93, 34359738368
94, 549755813888
95, 8796093022208
96, 140737488355328
97, 2251799813685248
98, 36028797018963968
99, 57
100, 9223372036854775807
101, 9223372036854775808
102, 18446744073709551615
103, 36028797018963968
104, 576460752303423488
105, 9223372036854775807
106, 9223372036854775808
107, 18446744073709551615
